RegistryDate,ExpirationDate,HostCountry,DomainAge,URLType
2002-04-21 07:14:49,2020-04-21 07:14:49,CN,6554,1
2015-06-08 06:40:44,2020-06-08 06:40:44,US,1758,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2004-08-28 04:23:26,2022-08-28 04:23:26,US,5694,0
2019-05-21 14:30:37,2020-05-21 14:30:37,CN,315,1
2003-12-26 19:18:07,2021-02-02 11:59:59,US,5939,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2008-02-04 19:59:11,2021-02-04 19:59:11,US,4438,0
2008-08-02 19:06:27,2020-08-02 19:06:27,PA,4258,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2009-12-21 01:20:46,2020-12-21 01:20:46,CN,3753,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
2013-06-16 02:38:02,2021-06-16 02:38:02,US,2480,1
2014-12-31 06:05:20,2021-12-31 06:05:20,US,1917,1
2017-08-06 18:26:17,2020-08-06 18:26:17,US,967,0
2006-05-28 02:08:53,2021-05-28 02:08:53,US,5056,0
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
1998-02-28 05:00:00,2025-02-28 05:00:00,CN,8067,1
1998-05-27 04:00:00,2020-05-26 04:00:00,US,7979,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1999-08-08 04:48:02,2020-08-08 04:47:54,US,7541,0
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2017-08-06 18:26:17,2020-08-06 18:26:17,US,967,0
2010-12-03 12:08:35,2023-12-03 12:08:35,BS,3406,0
2007-02-26 13:17:56,2022-02-26 13:17:56,REDACTED FOR PRIVACY,4782,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2002-04-03 23:34:10,2021-04-03 22:34:10,CN,6571,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1999-10-11 11:05:17,2026-10-11 11:05:17,CN,7477,1
2001-12-31 14:08:18,2024-12-31 14:08:18,US,6665,0
