,RegistryDate,ExpirationDate,HostCountry,DomainAge,ExpYear,ExpMonth,ExpDay,URLType
104,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
105,2015-03-24 07:05:16,2020-03-24 07:05:16,US,1818,2020.0,3.0,24.0,0
106,2016-06-27 04:48:43,2020-06-27 04:48:43,IN,1357,2020.0,6.0,27.0,1
107,2009-03-15 03:13:53,2021-03-15 03:13:53,US,4018,2021.0,3.0,15.0,0
108,2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6043,2023.0,8.0,29.0,1
109,2001-05-11 00:00:00,2027-05-11 00:00:00,US,6883,2027.0,5.0,11.0,1
110,2013-03-19 20:03:25,2020-03-19 20:03:25,EG,2552,2020.0,3.0,19.0,0
111,2010-08-03 17:50:54,2021-01-24 11:59:59,US,3511,2021.0,1.0,24.0,0
112,2010-10-30 05:10:57,2021-10-30 05:10:57,US,3424,2021.0,10.0,30.0,0
113,2007-02-26 13:17:56,2022-02-26 13:17:56,US,4766,2022.0,2.0,26.0,1
114,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
115,2016-08-15 00:52:57,2020-08-15 00:52:57,US,1308,2020.0,8.0,15.0,1
116,2013-02-27 09:47:42,2021-02-27 09:47:41,US,2573,2021.0,2.0,27.0,0
117,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,1
118,2002-05-20 18:06:29,2023-05-20 18:06:29,IN,6508,2023.0,5.0,20.0,0
119,2014-07-05 18:43:20,2021-07-05 18:43:20,US,2079,2021.0,7.0,5.0,1
120,2014-03-31 08:10:16,2023-03-31 08:10:16,US,2176,2023.0,3.0,31.0,1
121,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,1
122,1995-11-01 05:00:00,2021-02-02 11:59:59,US,8901,2021.0,2.0,2.0,0
123,1997-06-12 04:00:00,2020-06-11 04:00:00,US,8312,2020.0,6.0,11.0,0
124,2010-08-31 20:16:37,2020-08-31 20:16:37,US,3483,2020.0,8.0,31.0,1
125,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,1
126,2006-11-01 23:03:24,2028-11-17 23:39:45,US,4882,2028.0,11.0,17.0,0
127,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,1
